א' מצא (בדימ'),אליהו מצא
עוזי פוגלמן,עוזי פוגלמן
יצחק עמית,יצחק עמית
צבי גורפינקל,צבי גורפינקל
א' א לוי,א א לוי
 כבוד השופט מ. חשין,מישאל חשין
 כבוד השופט ח' מלצר,חנן מלצר
 כבוד השופטת ע' ארבל,עדנה ארבל
 השופט א' מצא,אליהו מצא
"רע""א 9/99",רעא 999
ד' הנדל,ד הנדל
השפט צ' זילברטל,צבי זילברטל
דורית ביניש,דורית ביניש
אליעזר ריבלין,אליעזר ריבלין
מרים נאור,מרים נאור
כב' ח' מלצר,חנן מלצר
 כבוד השופט ת/ אור,תיאודור אור
השוט א' גרוניס,השוט א גרוניס
"בש""פ 9757/03",בשפ 975703
אי אלרון,אספרנצה אלון
צ' זילברטל (בדימ'),צבי זילברטל
"ע""פ 9937/01",עפ 993701
